iter	Passed	Remaining
688	1802	813
689	1804	810
690	1805	807
691	1806	804
692	1807	800
693	1809	797
694	1810	794
695	1811	791
696	1813	788
697	1814	784
698	1817	782
699	1820	780
700	1821	776
701	1823	773
702	1824	770
703	1825	767
704	1826	764
705	1828	761
706	1829	758
707	1833	756
708	1835	753
709	1836	750
710	1837	746
711	1838	743
712	1840	740
713	1842	737
714	1843	734
715	1844	731
716	1846	729
717	1851	727
718	1852	724
719	1854	721
720	1855	718
721	1857	715
722	1861	713
723	1864	710
724	1865	707
725	1867	704
726	1868	701
727	1870	698
728	1871	695
729	1872	692
730	1877	690
731	1879	688
732	1881	685
733	1882	682
734	1883	679
735	1884	676
736	1886	673
737	1887	670
738	1890	667
739	1892	664
740	1893	661
741	1894	658
742	1896	655
743	1897	652
744	1898	649
745	1900	646
746	1901	643
747	1902	640
748	1904	638
749	1907	635
750	1909	633
751	1911	630
752	1912	627
753	1914	624
754	1915	621
755	1916	618
756	1917	615
757	1920	613
758	1926	611
759	1929	609
760	1930	606
761	1931	603
762	1932	600
763	1935	598
764	1938	595
765	1941	593
766	1942	590
767	1944	587
768	1945	584
769	1946	581
770	1947	578
771	1953	577
772	1956	574
773	1958	571
774	1959	568
775	1960	566
776	1962	563
777	1963	560
778	1967	558
779	1969	555
780	1970	552
781	1971	549
782	1972	546
783	1974	543
784	1975	541
785	1976	538
786	1980	535
787	1981	533
788	1982	530
789	1983	527
790	1985	524
791	1986	521
792	1987	518
793	1988	515
794	1990	513
795	1991	510
796	1993	507
797	1996	505
798	2001	503
799	2003	500
800	2004	498
801	2005	495
802	2007	492
803	2011	490
804	2014	487
805	2015	485
806	2016	482
807	2017	479
808	2019	476
809	2020	473
810	2021	471
811	2025	468
812	2027	466
813	2028	463
814	2029	460
815	2030	457
816	2031	455
817	2033	452
818	2034	449
819	2035	446
820	2036	444
821	2040	441
822	2043	439
823	2044	436
824	2045	433
825	2046	431
826	2048	428
827	2049	425
828	2050	423
829	2052	420
830	2055	418
831	2060	416
832	2062	413
833	2063	410
834	2064	407
835	2065	405
836	2067	402
837	2070	400
838	2072	397
839	2073	394
840	2074	392
841	2076	389
842	2077	386
843	2078	384
844	2080	381
845	2081	378
846	2085	376
847	2088	374
848	2089	371
849	2090	368
850	2091	366
851	2093	363
852	2094	360
853	2095	358
854	2096	355
855	2101	353
856	2102	350
857	2103	348
858	2105	345
859	2106	342
860	2108	340
861	2109	337
862	2110	335
863	2111	332
864	2115	330
865	2116	327
866	2117	324
867	2118	322
868	2120	319
869	2121	317
870	2122	314
871	2124	311
872	2125	309
873	2126	306
874	2129	304
875	2136	302
876	2138	299
877	2139	297
878	2140	294
879	2141	292
880	2145	289
881	2148	287
882	2150	284
883	2151	282
884	2152	279
885	2153	277
886	2155	274
887	2156	271
888	2157	269
889	2160	267
890	2161	264
891	2163	261
892	2164	259
893	2165	256
894	2167	254
895	2168	251
896	2169	249
897	2171	246
898	2173	244
899	2175	241
900	2177	239
901	2178	236
902	2179	234
903	2181	231
904	2182	229
905	2183	226
906	2184	223
907	2189	221
908	2193	219
909	2194	217
910	2196	214
911	2197	212
912	2198	209
913	2202	207
914	2204	204
915	2205	202
916	2206	199
917	2207	197
918	2210	194
919	2211	192
920	2212	189
921	2214	187
922	2218	185
923	2220	182
924	2222	180
925	2223	177
926	2224	175
927	2225	172
928	2227	170
929	2228	167
930	2229	165
931	2233	162
932	2235	160
933	2236	158
934	2237	155
935	2239	153
936	2240	150
937	2242	148
938	2243	145
939	2246	143
940	2249	141
941	2252	138
942	2253	136
943	2255	133
944	2256	131
945	2257	128
946	2258	126
947	2262	124
948	2265	121
949	2266	119
950	2267	116
951	2269	114
952	2270	111
953	2271	109
954	2273	107
955	2276	104
956	2280	102
957	2281	100
958	2283	97
959	2284	95
960	2285	92
961	2286	90
962	2287	87
963	2288	85
964	2290	83
965	2292	80
966	2293	78
967	2294	75
968	2296	73
969	2297	71
970	2298	68
971	2300	66
972	2301	63
973	2302	61
974	2303	59
975	2307	56
976	2310	54
977	2312	52
978	2313	49
979	2314	47
980	2316	44
981	2317	42
982	2318	40
983	2321	37
984	2325	35
985	2328	33
986	2330	30
987	2331	28
988	2332	25
989	2333	23
990	2338	21
991	2339	18
992	2340	16
993	2341	14
994	2343	11
995	2344	9
996	2345	7
997	2346	4
998	2348	2
999	2349	0
